Age,Gender,Sentiment,Food
30,man,angry,"French Fries"
18,woman,angry,"Saag Paneer"
37,woman,disgust,"Vindaloo - Lamb"
26,woman,fear,"Chicken Tikka Masala"
42,man,angry,Chapati
65,woman,fear,"Keema Rice"
15,woman,disgust,"Rogon - Lamb"
34,man,surprise,"Lamb Tikka"
24,woman,surprise,"Red Sauce"
59,woman,surprise,"Saag Paneer"
32,man,surprise,"Chicken Tikka Karahi"
68,man,happy,"Chicken Mysore"
50,man,happy,"Aloo Chaat"
23,woman,happy,"Pilau Rice"
31,woman,fear,"Garlic Naan"
22,woman,surprise,"Chicken Pakora"
41,woman,sad,"Bombay Aloo"
21,woman,angry,"Lamb Chilli Garlic"
62,woman,surprise,"Chicken Chilli Garlic"
68,man,angry,"Onion Bhajee"
68,woman,happy,"Aloo Chaat"
39,man,happy,"Lamb Biryani"
52,man,surprise,"French Fries"
19,woman,surprise,"Keema Naan"
27,man,angry,"Chicken Tikka Masala"
21,man,fear,"Tandoori Mixed Grill"
41,woman,sad,"Chicken Pakora"
40,woman,sad,"Korma - Chicken"
67,man,surprise,"Tandoori Roti"
52,woman,angry,"Mint Sauce"
28,woman,happy,"Plain Papadum"
18,man,fear,"Plain Naan"
51,man,sad,"King Prawn Puree"
31,man,sad,"Mango Chutney"
32,man,happy,"Plain Papadum"
46,woman,fear,"Mango Chutney"
55,woman,surprise,"Pilau Rice"
21,woman,surprise,"Chicken Shashlick"
61,man,angry,"Mint Sauce"
41,woman,angry,"Red Sauce"
32,man,surprise,"Bhindi Bhajee"
24,woman,surprise,"Aloo Chaat"
25,man,angry,"Korma - Prawn"
15,woman,disgust,"Onion Chutney"
50,man,surprise,"Chicken Tikka Masala"
23,man,fear,"Peshwari Naan"
50,woman,disgust,"Onion Chutney"
36,woman,angry,"Garlic Naan"
19,woman,disgust,"Pilau Rice"
39,woman,angry,"Mango Chutney"
69,woman,fear,"Pilau Rice"
63,woman,happy,"Dhansak Sauce"
23,man,disgust,"Chicken Balti"
45,man,angry,"Bhuna - Chicken"
67,man,sad,"Mango Chutney"
34,woman,angry,"Onion Bhajee"
34,woman,angry,"Special Fried Rice"
53,woman,surprise,"Onion Chutney"
57,man,disgust,"Tarka Dall"
48,man,sad,"Mango Chutney"
37,man,disgust,"Saag Paneer"
31,woman,disgust,"Mango Chutney"
40,man,fear,"Baingan Hari Mirch"
63,woman,happy,"Onion Chutney"
39,woman,angry,"Madras - Chicken"
49,man,surprise,"Mango Chutney"
60,woman,surprise,"Lemon Rice"
49,woman,fear,"Onion Chutney"
50,woman,disgust,"Spicy Papadum"
62,woman,sad,"Onion Chutney"
52,woman,angry,"French Fries"
44,woman,sad,"Mango Chutney"
40,man,fear,"Mint Sauce"
64,man,surprise,"Chicken Tikka Masala"
42,man,disgust,"Red Sauce"
17,woman,disgust,"Lime Pickle"
40,man,fear,"Curry - Lamb"
63,man,angry,"Mint Sauce"
30,woman,disgust,"Pilau Rice"
36,man,sad,"Mango Chutney"
63,woman,happy,"Peshwari Naan"
15,woman,angry,"Onion Chutney"
60,woman,sad,"Plain Papadum"
37,man,fear,"Mango Chutney"
57,woman,sad,"Plain Papadum"
42,woman,surprise,"Mango Chutney"
64,woman,happy,"Vegetable Rice"
43,man,disgust,"Saag - Prawn"
55,man,happy,"Tandoori Chicken Masala"
22,woman,surprise,"Onion Chutney"
40,woman,sad,"Mango Chutney"
55,man,happy,"Mint Sauce"
18,woman,sad,"Onion Chutney"
25,man,fear,"Plain Papadum"
32,woman,fear,"Red Sauce"
43,man,surprise,"Lime Pickle"
19,man,disgust,"Lemon Rice"
47,woman,happy,"Mango Chutney"
37,woman,surprise,"Lamb Mysore"
37,man,fear,"Mint Sauce"
63,man,angry,"Dhansak - Chicken"
39,man,happy,"Mango Chutney"
36,woman,surprise,"Mango Chutney"
39,woman,sad,"Mint Sauce"
56,man,happy,Chapati
49,man,surprise,"Red Sauce"
42,man,disgust,"Lime Pickle"
27,man,angry,"Onion Chutney"
24,man,fear,"Lamb Biryani"
34,woman,disgust,"Red Sauce"
67,woman,disgust,"Mint Sauce"
53,man,fear,"Peshwari Naan"
52,man,surprise,"Red Sauce"
61,woman,happy,"Onion Bhajee"
53,woman,angry,"Mango Chutney"
63,woman,happy,"Aloo Gobi"
63,woman,happy,"Mint Sauce"
61,woman,sad,"Chicken Biryani"
16,man,sad,"Mango Chutney"
67,man,sad,"Pilau Rice"
48,woman,fear,"Madras - Chicken"
49,woman,happy,"Mint Sauce"
36,man,fear,"Korma - Chicken"
39,woman,angry,"Lamb Tikka Chilli Masala"
38,woman,surprise,"Onion Chutney"
65,woman,happy,"Chicken Balti"
17,man,sad,"Peshwari Naan"
20,man,fear,"Chicken Tikka Chilli Masala"
38,man,fear,"Onion Chutney"
50,man,sad,"Red Sauce"
65,woman,sad,"Mango Chutney"
59,woman,surprise,"Onion Chutney"
30,man,angry,"Mint Sauce"
25,woman,surprise,"Mango Chutney"
25,woman,sad,"Lal Mirch Chicken"
59,woman,surprise,"Mango Chutney"
16,woman,angry,"Mint Sauce"
66,man,surprise,"Korma - Prawn"
65,woman,happy,"Mint Sauce"
29,woman,happy,"Mint Sauce"
16,man,surprise,"Korma - King Prawn"
40,woman,happy,"Mango Chutney"
22,woman,angry,"Mango Chutney"
52,man,happy,"Plain Rice"
54,woman,surprise,"Mushroom Rice"
40,woman,surprise,"Mint Sauce"
28,woman,sad,"Garlic Naan"
31,woman,fear,"Saag Aloo"
47,woman,disgust,"Mango Chutney"
64,man,surprise,"Keema Naan"
56,man,disgust,"Aloo Gobi"
40,woman,angry,"Onion Chutney"
66,woman,fear,"Peshwari Naan"
66,woman,fear,"Mango Chutney"
18,man,sad,"Plain Papadum"
19,man,fear,"Mango Chutney"
43,man,angry,"Bhindi Bhajee"
60,man,fear,"Mango Chutney"
49,man,sad,"Spicy Papadum"
50,man,angry,"Saag Paneer"
26,woman,fear,"Mint Sauce"
46,woman,happy,"Mango Chutney"
20,woman,disgust,"Mint Sauce"
48,man,sad,"Mint Sauce"
43,man,angry,"Onion Chutney"
53,man,happy,"Chicken Biryani"
34,woman,fear,"Mint Sauce"
47,man,surprise,"Mango Chutney"
68,man,surprise,"Red Sauce"
50,woman,angry,"Garlic Naan"
17,woman,disgust,"Onion Chutney"
37,man,fear,"Mango Chutney"
43,man,angry,"Mint Sauce"
17,woman,angry,"Plain Naan"
59,woman,sad,"Mint Sauce"
24,woman,surprise,"Vindaloo - Chicken"
36,woman,disgust,"Red Sauce"
48,man,angry,"Tandoori Chicken Masala"
65,woman,happy,"Mango Chutney"
26,man,surprise,"Madras - Chicken Tikka"
45,woman,happy,"Plain Papadum"
48,man,surprise,"Mango Chutney"
37,woman,surprise,"Plain Rice"
59,woman,surprise,"Red Sauce"
48,man,surprise,"Red Sauce"
44,woman,sad,"Plain Naan"
44,woman,fear,"Onion Chutney"
36,woman,disgust,"Chicken Tikka Masala"
38,man,happy,"Mint Sauce"
15,woman,fear,"Madras - Chicken"
53,woman,fear,"Madras - Chicken Tikka"
61,woman,sad,"Mango Chutney"
48,woman,happy,"Plain Papadum"
62,woman,sad,"Mushroom Rice"
32,woman,fear,"Bombay Aloo"
51,man,happy,"Garlic Naan"
18,woman,disgust,"Chicken Tikka Jalfrezi"
30,woman,happy,"Pilau Rice"
66,woman,disgust,"Lime Pickle"
64,man,surprise,"Plain Papadum"
29,man,sad,"Mango Chutney"
59,woman,happy,"Spicy Papadum"
60,woman,sad,"Mint Sauce"
63,man,disgust,"Vindaloo Sauce"
17,man,sad,"Red Sauce"
52,man,sad,"Bombay Aloo"
63,woman,fear,"Mint Sauce"
40,woman,angry,"Onion Bhajee"
59,woman,surprise,"Mint Sauce"
35,woman,angry,"Onion Bhajee"
40,man,disgust,"Onion Chutney"
44,woman,fear,"Mango Chutney"
33,woman,angry,"Sheek Kebab"
44,man,surprise,"Meat Samosa"
41,man,fear,"Mango Chutney"
53,man,happy,"Plain Papadum"
40,man,fear,"Chicken Pakora"
33,man,happy,"Mango Chutney"
56,woman,sad,"Lamb Biryani"
17,man,sad,"Mint Sauce"
39,man,angry,"Chicken Biryani"
62,woman,happy,"Onion Chutney"
23,man,happy,"Chicken Tikka Biryani"
15,man,sad,"Red Sauce"
61,man,fear,"Aloo Gobi"
38,man,happy,"Lime Pickle"
21,man,happy,"Chicken Tikka Jalfrezi"
31,man,sad,"Mint Sauce"
40,woman,sad,"Onion Chutney"
56,woman,disgust,"Mango Chutney"
32,man,angry,"Mint Sauce"
18,woman,surprise,"Mango Chutney"
29,man,surprise,"Mango Chutney"
18,woman,surprise,"Onion Chutney"
21,woman,surprise,"Mango Chutney"
16,man,surprise,"Red Sauce"
59,man,disgust,"Mango Chutney"
25,woman,happy,"Mint Sauce"
29,man,surprise,"Mango Chutney"
47,woman,sad,"Mango Chutney"
22,woman,sad,"Red Sauce"
68,woman,happy,"Onion Chutney"
42,man,angry,"Onion Chutney"
25,man,angry,"Chicken Tikka (Main)"
61,woman,happy,"Red Sauce"
48,man,sad,"Mango Chutney"
57,man,happy,"Bombay Aloo"
19,man,fear,"Korma - Chicken"
68,man,sad,"Mint Sauce"
46,man,angry,"Mango Chutney"
29,woman,happy,"Chana Masala"
39,man,happy,"Mango Chutney"
50,man,angry,"Mint Sauce"
26,man,surprise,"Dupiaza - Chicken"
34,man,happy,"Lime Pickle"
34,woman,disgust,"Lime Pickle"
47,man,sad,"Keema Naan"
26,woman,fear,"Mint Sauce"
25,man,fear,"Onion Chutney"
48,woman,happy,"Pilau Rice"
18,woman,angry,"Mango Chutney"
46,woman,fear,"Lime Pickle"
27,woman,fear,"Mushroom Rice"
63,woman,happy,"Mango Chutney"
26,woman,sad,"Chicken Tikka Masala"
16,man,happy,"Red Sauce"
24,man,disgust,"Plain Rice"
30,man,sad,"Muttar Paneer"
15,woman,disgust,"Pilau Rice"
55,man,sad,"Keema Naan"
63,man,angry,"Garlic Naan"
69,man,sad,"Mango Chutney"
34,man,sad,"French Fries"
45,woman,happy,"Red Sauce"
26,woman,sad,"Mushroom Rice"
19,woman,angry,"Chicken Biryani"
15,woman,angry,"Mango Chutney"
51,man,happy,"Plain Naan"
36,man,happy,"Mango Chutney"
68,woman,happy,"Mushroom Rice"
15,man,fear,"Mint Sauce"
63,woman,happy,"Chicken Tikka (Main)"
48,woman,fear,"Onion Chutney"
31,woman,disgust,"Onion Bhajee"
48,woman,happy,"Red Sauce"
66,man,sad,"Tandoori Mixed Grill"
63,man,surprise,"Korma - Chicken"
35,man,sad,"Mango Chutney"
21,woman,happy,"Chicken Tikka Masala"
24,man,angry,"Peshwari Naan"
40,man,happy,"Curry - Chicken"
59,woman,surprise,"Pilau Rice"
29,man,surprise,"Bombay Aloo"
68,man,surprise,"Chicken Tikka (Main)"
47,man,angry,"Muttar Paneer"
47,man,angry,"Mango Chutney"
33,man,happy,"Mint Sauce"
68,man,angry,"Plain Naan"
53,man,happy,"Mint Sauce"
23,woman,sad,"Mint Sauce"
57,man,happy,"Pilau Rice"
41,woman,angry,"Mango Chutney"
56,man,fear,"Red Sauce"
19,woman,surprise,"Keema Rice"
16,man,happy,"Red Sauce"
40,man,happy,"Aloo Chaat"
45,woman,happy,"Mango Chutney"
22,woman,sad,"Chicken Balti"
48,man,angry,"Mango Chutney"
36,man,happy,"Chicken Tikka Masala"
38,man,sad,"Mango Chutney"
33,man,happy,"Chicken Shashlick"
31,woman,fear,"Mango Chutney"
42,woman,happy,"Meat Samosa"
52,man,surprise,"Vegetable Balti"
46,woman,happy,"Red Sauce"
60,woman,angry,"Lime Pickle"
27,man,surprise,"Plain Papadum"
59,woman,sad,"Cauliflower Bhajee"
60,man,angry,"Mint Sauce"
41,woman,surprise,"Mango Chutney"
48,woman,fear,"Mango Chutney"
16,man,happy,"Vindaloo - Chicken"
46,man,disgust,"Mint Sauce"
68,man,happy,"Mint Sauce"
19,man,happy,"Mint Sauce"
17,woman,fear,"Mango Chutney"
69,man,surprise,"Butter Chicken"
51,man,happy,"Onion Chutney"
52,man,fear,"Red Sauce"
16,man,sad,"Onion Chutney"
44,woman,happy,"Prawn Balti"
52,man,surprise,"Red Sauce"
30,woman,fear,"Keema Rice"
52,man,sad,"Mango Chutney"
53,man,surprise,"Lime Pickle"
52,woman,angry,"Tandoori Chicken Masala"
23,man,fear,"Onion Chutney"
35,woman,disgust,"Red Sauce"
46,woman,sad,"Curry - Chicken"
62,woman,happy,"Mango Chutney"
20,man,fear,"Aloo Gobi"
16,man,fear,"Keema Naan"
47,woman,fear,"Chicken Chilli Garlic"
63,man,angry,"Mint Sauce"
27,man,disgust,"Lamb Hari Mirch"
69,man,happy,"Red Sauce"
60,woman,surprise,"Mushroom Bhajee"
23,man,fear,"Mango Chutney"
25,woman,surprise,"Mango Chutney"
44,man,angry,"Curry - Chicken"
46,man,sad,"Mint Sauce"
22,woman,sad,"Bombay Aloo"
46,man,surprise,"Mint Sauce"
39,woman,surprise,"Plain Naan"
15,woman,disgust,"Plain Naan"
21,man,angry,"Onion Chutney"
58,woman,surprise,"Mint Sauce"
60,woman,sad,"Vegetable Rice"
57,woman,surprise,"Pilau Rice"
52,woman,angry,"Mint Sauce"
22,man,disgust,"Mango Chutney"
26,man,disgust,"Chicken Tikka Biryani"
54,man,fear,"Plain Papadum"
65,woman,disgust,"Mint Sauce"
45,man,angry,"Lime Pickle"
53,man,surprise,"Mixed Starter"
32,woman,disgust,"Onion Chutney"
19,woman,angry,"Mango Chutney"
46,man,angry,"Onion Bhajee"
20,woman,angry,"Mango Chutney"
53,man,fear,"Mint Sauce"
25,man,fear,"Chicken Tikka Biryani"
31,man,surprise,"Onion Chutney"
39,man,disgust,"Bhuna - Chicken Tikka"
58,man,fear,"Mint Sauce"
31,woman,angry,"Mushroom Rice"
63,man,surprise,"Mango Chutney"
55,woman,surprise,"Keema Rice"
62,woman,happy,"Red Sauce"
44,man,angry,"Red Sauce"
32,woman,fear,"Madras - Lamb"
27,woman,happy,"Mango Chutney"
27,woman,fear,"Bombay Aloo"
42,man,disgust,"Mixed Starter"
29,woman,happy,"Masala Sauce"
50,woman,disgust,"Madras - Lamb"
68,woman,fear,"Mushroom Rice"
60,woman,angry,"Mushroom Rice"
56,man,disgust,"Bottle Coke"
47,man,sad,"French Fries"
65,man,angry,"Korma - Chicken"
24,man,disgust,"Peshwari Naan"
65,woman,sad,"Plain Naan"
30,man,surprise,"Mint Sauce"
44,man,disgust,"Garlic Naan"
36,woman,disgust,"Onion Chutney"
16,man,sad,"Tandoori Mixed Grill"
20,woman,sad,"Plain Papadum"
65,woman,fear,"Plain Papadum"
20,woman,angry,"Pathia - Chicken Tikka"
63,woman,sad,"Mint Sauce"
15,man,sad,"Mint Sauce"
22,man,disgust,"COBRA ( LARGE )"
16,woman,fear,"Red Sauce"
24,man,angry,"House white wine 75cl"
66,woman,fear,"Mango Chutney"
65,woman,fear,"Mango Chutney"
54,woman,angry,"Pilau Rice"
69,man,surprise,"Mango Chutney"
41,woman,angry,"Mint Sauce"
22,woman,angry,"Mango Chutney"
26,woman,fear,"Red Sauce"
46,man,surprise,"Mint Sauce"
66,man,surprise,"Mango Chutney"
20,man,happy,"Mango Chutney"
61,man,fear,"Onion Chutney"
40,man,fear,"Korma Sauce"
61,woman,happy,"Mint Sauce"
28,woman,happy,"Lamb Tikka"
59,man,disgust,"Mango Chutney"
23,man,happy,"Lime Pickle"
19,woman,angry,"Onion Chutney"
60,man,angry,"Onion Chutney"
35,woman,disgust,"Lime Pickle"
47,man,angry,"Plain Rice"
30,man,sad,"Red Sauce"
64,woman,sad,"King Prawn Shaslick"
63,woman,fear,"Mango Chutney"
46,man,angry,"Red Sauce"
42,man,fear,"COBRA ( LARGE )"
57,man,happy,"Mango Chutney"
67,woman,happy,"Chicken Tikka Biryani"
59,woman,sad,"Mango Chutney"
57,woman,angry,"Stuffed Paratha"
55,man,happy,"Red Sauce"
30,man,angry,"Meat Samosa"
45,woman,fear,"Onion Chutney"
18,man,happy,"Plain Rice"
17,woman,disgust,"Red Sauce"
37,woman,surprise,"Mango Chutney"
51,man,happy,"Mango Chutney"
65,man,angry,"Mint Sauce"
17,man,sad,"Mint Sauce"
46,man,angry,"Mint Sauce"
59,man,disgust,"Mango Chutney"
38,man,fear,"Mint Sauce"
34,woman,disgust,"Mint Sauce"
35,man,happy,"Onion Chutney"
50,man,happy,"Plain Naan"
50,woman,disgust,"Mint Sauce"
35,woman,angry,"Onion Chutney"
53,man,fear,"Mixed Vegetable Curry"
21,man,fear,"Onion Chutney"
27,man,angry,"Mango Chutney"
50,woman,disgust,"Aloo Gobi"
65,woman,fear,"Mango Chutney"
20,woman,surprise,"Mint Sauce"
45,woman,happy,"Curry Sauce"
27,woman,sad,"Mango Chutney"
20,woman,angry,"Mint Sauce"
50,woman,fear,"Mango Chutney"
59,woman,surprise,"Mango Chutney"
29,woman,fear,"Mango Chutney"
20,woman,sad,Raitha
21,woman,surprise,"Mint Sauce"
48,woman,disgust,"Onion Chutney"
19,man,happy,"Red Sauce"
32,man,angry,"Mango Chutney"
20,man,disgust,"Madras - Chicken"
52,woman,fear,"Mint Sauce"
49,man,angry,"Mint Sauce"
36,woman,angry,"Red Sauce"
34,man,surprise,"Lime Pickle"
21,woman,surprise,"Mint Sauce"
67,man,angry,"Mango Chutney"
35,man,surprise,"Mango Chutney"
53,woman,fear,"Mango Chutney"
35,man,sad,"Mango Chutney"
42,man,disgust,"Mint Sauce"
59,woman,happy,"Mango Chutney"
41,man,happy,"Onion Chutney"
37,woman,disgust,"Mint Sauce"
59,woman,angry,"Lime Pickle"
56,man,disgust,"Mint Sauce"
18,man,sad,"Red Sauce"
59,woman,happy,"Mint Sauce"
22,man,disgust,"Red Sauce"
18,man,happy,"Plain Naan"
64,woman,fear,"Mango Chutney"
54,woman,fear,"Mint Sauce"
60,woman,sad,"Bottle Diet Coke"
49,man,sad,"Mango Chutney"
68,man,sad,"Plain Rice"
64,woman,fear,"Onion Chutney"
62,man,disgust,"Mint Sauce"
23,man,disgust,"Bombay Aloo"
31,woman,angry,"Mango Chutney"
53,woman,surprise,"Onion Chutney"
20,woman,angry,"Mint Sauce"
43,woman,fear,"Mint Sauce"
23,man,fear,"Lime Pickle"
33,man,surprise,"Chicken Tikka Jalfrezi"
55,woman,surprise,"Red Sauce"
25,man,disgust,"Mango Chutney"
32,man,sad,"Mint Sauce"
65,man,sad,"Mushroom Rice"
64,man,surprise,"Onion Chutney"
54,woman,angry,"Mint Sauce"
40,woman,happy,"Onion Chutney"
68,woman,disgust,"Plain Papadum"
26,woman,happy,"Mint Sauce"
54,man,sad,"Mango Chutney"
22,man,fear,"Red Sauce"
27,man,disgust,"Cauliflower Bhajee"
65,woman,disgust,"Mango Chutney"
48,man,surprise,"Onion Chutney"
61,man,disgust,"Dhansak - Chicken"
41,woman,sad,"Mint Sauce"
32,woman,disgust,"Red Sauce"
21,woman,sad,"Tarka Dall"
63,woman,fear,"Mint Sauce"
53,man,sad,"Mango Chutney"
16,woman,surprise,"Saag Dall"
58,man,disgust,"Onion Chutney"
59,woman,happy,"Vindaloo - Chicken"
19,woman,sad,"Red Sauce"
42,man,disgust,"Special Fried Rice"
21,woman,sad,"Lime Pickle"
65,man,angry,"Plain Naan"
59,woman,happy,"Mango Chutney"
46,man,sad,"Onion Chutney"
37,man,fear,"Mango Chutney"
58,woman,angry,"Bombay Aloo"
53,woman,disgust,"Lime Pickle"
61,woman,surprise,"Mango Chutney"
50,man,angry,"Lamb Biryani"
30,man,angry,"Mint Sauce"
22,woman,sad,"Mango Chutney"
29,woman,sad,"Chicken Biryani"
59,man,angry,"Red Sauce"
21,woman,surprise,"Mint Sauce"
56,man,happy,"Bombay Aloo"
54,woman,disgust,"Mint Sauce"
35,man,sad,"Onion Chutney"
44,man,surprise,"Peshwari Naan"
59,man,fear,"Lime Pickle"
51,woman,fear,"Mango Chutney"
29,woman,sad,"Dhansak - Lamb"
22,woman,surprise,"Lime Pickle"
58,woman,sad,"Mango Chutney"
35,woman,disgust,"Mango Chutney"
33,woman,fear,"Korma - Chicken"
46,woman,sad,"Mango Chutney"
63,woman,happy,"Red Sauce"
32,woman,happy,"Onion Chutney"
15,woman,fear,"Mango Chutney"
47,woman,sad,"Mango Chutney"
55,woman,disgust,"Mint Sauce"
48,woman,fear,"Mango Chutney"
64,woman,sad,"Mint Sauce"
26,man,angry,"Mango Chutney"
67,man,surprise,"Mango Chutney"
21,man,disgust,"Mango Chutney"
17,man,fear,"Onion Chutney"
63,man,angry,"Plain Naan"
24,woman,surprise,"Onion Chutney"
40,woman,angry,"Red Sauce"
64,man,disgust,"Mango Chutney"
20,man,fear,"Mango Chutney"
22,woman,angry,"Pilau Rice"
47,man,angry,"Mango Chutney"
30,man,surprise,"Mint Sauce"
46,woman,happy,"Red Sauce"
23,man,fear,"Onion Chutney"
25,woman,sad,"Onion Chutney"
41,man,fear,"Mango Chutney"
53,woman,surprise,"Mango Chutney"
27,man,angry,"Mango Chutney"
67,woman,disgust,"Lime Pickle"
36,woman,surprise,"Mango Chutney"
26,man,angry,"Mint Sauce"
65,woman,happy,"Mint Sauce"
58,woman,sad,"Onion Chutney"
22,woman,angry,"Pilau Rice"
21,woman,surprise,"Mango Chutney"
15,man,happy,"Mint Sauce"
27,woman,fear,"Mint Sauce"
38,man,disgust,"Onion Chutney"
53,man,sad,"Mint Sauce"
57,man,fear,"Mango Chutney"
43,man,angry,"Chicken Tikka Masala"
18,man,happy,"Red Sauce"
51,man,happy,"Mango Chutney"
23,woman,happy,"Mint Sauce"
25,woman,sad,"Mango Chutney"
17,woman,disgust,"Madras - Chicken Tikka"
39,woman,surprise,"Mango Chutney"
31,man,surprise,"Mango Chutney"
66,man,sad,"Mint Sauce"
44,man,angry,"Mango Chutney"
19,man,sad,"Onion Bhajee"
62,woman,sad,"Lime Pickle"
58,woman,sad,"Onion Chutney"
49,man,surprise,"Onion Chutney"
47,man,surprise,"Chicken Tikka Jalfrezi"
65,woman,happy,"Mint Sauce"
29,man,angry,"Onion Chutney"
66,man,angry,"Pilau Rice"
31,woman,happy,"Mango Chutney"
25,woman,surprise,"Mango Chutney"
43,man,disgust,"Mint Sauce"
68,man,sad,"Plain Naan"
64,man,surprise,"Lime Pickle"
65,man,angry,"Mango Chutney"
47,man,angry,"Mint Sauce"
36,woman,surprise,"Green Salad"
35,man,sad,"Mango Chutney"
22,man,fear,"Mint Sauce"
47,man,angry,"Mint Sauce"
18,woman,surprise,"Mango Chutney"
59,woman,surprise,"Mango Chutney"
65,woman,happy,"Mango Chutney"
20,woman,angry,"Mint Sauce"
65,woman,happy,"Mango Chutney"
60,man,fear,"Mint Sauce"
36,woman,disgust,"Onion Chutney"
21,woman,sad,"Red Sauce"
49,woman,disgust,"Mango Chutney"
68,woman,fear,"Mango Chutney"
30,woman,happy,"Mango Chutney"
67,woman,disgust,"Mango Chutney"
61,woman,sad,"Mint Sauce"
45,woman,sad,"Onion Chutney"
69,woman,disgust,"Mango Chutney"
39,woman,sad,"Mint Sauce"
51,woman,angry,"Mint Sauce"
48,woman,fear,"Mango Chutney"
32,woman,angry,"Mango Chutney"
32,man,sad,"Mango Chutney"
41,woman,sad,"Sheek Kebab"
31,woman,fear,"Onion Chutney"
61,man,fear,"Mango Chutney"
53,man,happy,"Vegetable Biryani"
66,woman,happy,"Onion Chutney"
33,man,happy,"Onion Chutney"
34,man,happy,"Mint Sauce"
30,man,surprise,"Mint Sauce"
43,woman,happy,"Mint Sauce"
68,woman,fear,"Red Sauce"
37,man,fear,"Mango Chutney"
61,man,angry,"Onion Chutney"
44,man,fear,"Onion Chutney"
41,woman,angry,"Mint Sauce"
24,woman,happy,"Mint Sauce"
35,woman,surprise,"Mint Sauce"
50,woman,angry,"Onion Chutney"
25,woman,happy,"Aloo Chaat"
19,woman,angry,"Mango Chutney"
54,woman,disgust,"Onion Chutney"
16,woman,disgust,"Madras - King Prawn"
30,man,sad,"Red Sauce"
33,woman,angry,"Pilau Rice"
51,woman,angry,"Mango Chutney"
53,woman,fear,"Butter Chicken"
34,woman,angry,"Mint Sauce"
36,woman,angry,"Plain Papadum"
28,man,surprise,"Onion Chutney"
25,man,angry,"Chicken Tikka Masala"
20,woman,surprise,"Mango Chutney"
16,man,fear,"Plain Naan"
43,woman,happy,"Mango Chutney"
57,woman,sad,"Rogon - Chicken"
26,man,disgust,"Onion Chutney"
23,man,fear,"Chicken Tikka (Main)"
54,man,fear,"Onion Chutney"
24,man,disgust,"Madras - Chicken Tikka"
25,man,angry,"Mint Sauce"
68,woman,disgust,"Garlic Naan"
62,man,fear,"Mango Chutney"
49,man,sad,"Mango Chutney"
44,man,angry,"Bombay Aloo"
32,woman,angry,"Mango Chutney"
51,man,fear,"Onion Chutney"
51,man,sad,"Saag Aloo"
64,woman,sad,"Mint Sauce"
44,woman,happy,"Mint Sauce"
64,woman,happy,"Mango Chutney"
40,woman,surprise,"French Fries"
69,woman,disgust,"Onion Chutney"
41,woman,sad,"Mango Chutney"
62,man,surprise,"Mint Sauce"
24,woman,happy,"Pilau Rice"
48,man,surprise,"Mango Chutney"
