	Age	Gender	Sentiment	Food
317	46	0	0	Mango Chutney
318	29	1	3	Chana Masala
319	39	0	3	Mango Chutney
320	50	0	0	Mint Sauce
321	26	0	5	Dupiaza - Chicken
322	34	0	3	Lime Pickle
323	34	1	1	Lime Pickle
324	47	0	4	Keema Naan
325	26	1	2	Mint Sauce
326	25	0	2	Onion Chutney
327	48	1	3	Pilau Rice
328	18	1	0	Mango Chutney
329	46	1	2	Lime Pickle
330	27	1	2	Mushroom Rice
331	63	1	3	Mango Chutney
332	26	1	4	Chicken Tikka Masala
333	16	0	3	Red Sauce
334	24	0	1	Plain Rice
335	30	0	4	Muttar Paneer
336	15	1	1	Pilau Rice
337	55	0	4	Keema Naan
338	63	0	0	Garlic Naan
339	69	0	4	Mango Chutney
340	34	0	4	French Fries
341	45	1	3	Red Sauce
342	26	1	4	Mushroom Rice
343	19	1	0	Chicken Biryani
344	15	1	0	Mango Chutney
345	51	0	3	Plain Naan
346	36	0	3	Mango Chutney
347	68	1	3	Mushroom Rice
348	15	0	2	Mint Sauce
349	63	1	3	Chicken Tikka (Main)
350	48	1	2	Onion Chutney
351	31	1	1	Onion Bhajee
352	48	1	3	Red Sauce
353	66	0	4	Tandoori Mixed Grill
354	63	0	5	Korma - Chicken
355	35	0	4	Mango Chutney
356	21	1	3	Chicken Tikka Masala
357	24	0	0	Peshwari Naan
358	40	0	3	Curry - Chicken
359	59	1	5	Pilau Rice
360	29	0	5	Bombay Aloo
361	68	0	5	Chicken Tikka (Main)
362	47	0	0	Muttar Paneer
363	47	0	0	Mango Chutney
364	33	0	3	Mint Sauce
365	68	0	0	Plain Naan
366	53	0	3	Mint Sauce
367	23	1	4	Mint Sauce
368	57	0	3	Pilau Rice
369	41	1	0	Mango Chutney
370	56	0	2	Red Sauce
371	19	1	5	Keema Rice
372	16	0	3	Red Sauce
373	40	0	3	Aloo Chaat
374	45	1	3	Mango Chutney
375	22	1	4	Chicken Balti
376	48	0	0	Mango Chutney
377	36	0	3	Chicken Tikka Masala
378	38	0	4	Mango Chutney
379	33	0	3	Chicken Shashlick
380	31	1	2	Mango Chutney
381	42	1	3	Meat Samosa
382	52	0	5	Vegetable Balti
383	46	1	3	Red Sauce
384	60	1	0	Lime Pickle
385	27	0	5	Plain Papadum
386	59	1	4	Cauliflower Bhajee
387	60	0	0	Mint Sauce
388	41	1	5	Mango Chutney
389	48	1	2	Mango Chutney
390	16	0	3	Vindaloo - Chicken
391	46	0	1	Mint Sauce
392	68	0	3	Mint Sauce
393	19	0	3	Mint Sauce
394	17	1	2	Mango Chutney
395	69	0	5	Butter Chicken
396	51	0	3	Onion Chutney
397	52	0	2	Red Sauce
398	16	0	4	Onion Chutney
399	44	1	3	Prawn Balti
400	52	0	5	Red Sauce
401	30	1	2	Keema Rice
402	52	0	4	Mango Chutney
403	53	0	5	Lime Pickle
404	52	1	0	Tandoori Chicken Masala
405	23	0	2	Onion Chutney
406	35	1	1	Red Sauce
407	46	1	4	Curry - Chicken
408	62	1	3	Mango Chutney
409	20	0	2	Aloo Gobi
410	16	0	2	Keema Naan
411	47	1	2	Chicken Chilli Garlic
412	63	0	0	Mint Sauce
413	27	0	1	Lamb Hari Mirch
414	69	0	3	Red Sauce
415	60	1	5	Mushroom Bhajee
416	23	0	2	Mango Chutney
417	25	1	5	Mango Chutney
418	44	0	0	Curry - Chicken
419	46	0	4	Mint Sauce
420	22	1	4	Bombay Aloo
421	46	0	5	Mint Sauce
422	39	1	5	Plain Naan
423	15	1	1	Plain Naan
424	21	0	0	Onion Chutney
425	58	1	5	Mint Sauce
426	60	1	4	Vegetable Rice
427	57	1	5	Pilau Rice
428	52	1	0	Mint Sauce
429	22	0	1	Mango Chutney
430	26	0	1	Chicken Tikka Biryani
431	54	0	2	Plain Papadum
432	65	1	1	Mint Sauce
433	45	0	0	Lime Pickle
434	53	0	5	Mixed Starter
435	32	1	1	Onion Chutney
436	19	1	0	Mango Chutney
437	46	0	0	Onion Bhajee
438	20	1	0	Mango Chutney
439	53	0	2	Mint Sauce
440	25	0	2	Chicken Tikka Biryani
441	31	0	5	Onion Chutney
442	39	0	1	Bhuna - Chicken Tikka
443	58	0	2	Mint Sauce
444	31	1	0	Mushroom Rice
445	63	0	5	Mango Chutney
446	55	1	5	Keema Rice
447	62	1	3	Red Sauce
448	44	0	0	Red Sauce
449	32	1	2	Madras - Lamb
450	27	1	3	Mango Chutney
451	27	1	2	Bombay Aloo
452	42	0	1	Mixed Starter
453	29	1	3	Masala Sauce
454	50	1	1	Madras - Lamb
455	68	1	2	Mushroom Rice
456	60	1	0	Mushroom Rice
457	56	0	1	Bottle Coke
458	47	0	4	French Fries
459	65	0	0	Korma - Chicken
460	24	0	1	Peshwari Naan
461	65	1	4	Plain Naan
462	30	0	5	Mint Sauce
463	44	0	1	Garlic Naan
464	36	1	1	Onion Chutney
465	16	0	4	Tandoori Mixed Grill
466	20	1	4	Plain Papadum
467	65	1	2	Plain Papadum
468	20	1	0	Pathia - Chicken Tikka
469	63	1	4	Mint Sauce
470	15	0	4	Mint Sauce
471	22	0	1	COBRA ( LARGE )
472	16	1	2	Red Sauce
473	24	0	0	House white wine 75cl
474	66	1	2	Mango Chutney
475	65	1	2	Mango Chutney
476	54	1	0	Pilau Rice
477	69	0	5	Mango Chutney
478	41	1	0	Mint Sauce
479	22	1	0	Mango Chutney
480	26	1	2	Red Sauce
481	46	0	5	Mint Sauce
482	66	0	5	Mango Chutney
483	20	0	3	Mango Chutney
484	61	0	2	Onion Chutney
485	40	0	2	Korma Sauce
486	61	1	3	Mint Sauce
487	28	1	3	Lamb Tikka
488	59	0	1	Mango Chutney
489	23	0	3	Lime Pickle
490	19	1	0	Onion Chutney
491	60	0	0	Onion Chutney
492	35	1	1	Lime Pickle
493	47	0	0	Plain Rice
494	30	0	4	Red Sauce
495	64	1	4	King Prawn Shaslick
496	63	1	2	Mango Chutney
497	46	0	0	Red Sauce
498	42	0	2	COBRA ( LARGE )
499	57	0	3	Mango Chutney
500	67	1	3	Chicken Tikka Biryani
501	59	1	4	Mango Chutney
502	57	1	0	Stuffed Paratha
503	55	0	3	Red Sauce
504	30	0	0	Meat Samosa
505	45	1	2	Onion Chutney
506	18	0	3	Plain Rice
507	17	1	1	Red Sauce
508	37	1	5	Mango Chutney
509	51	0	3	Mango Chutney
510	65	0	0	Mint Sauce
511	17	0	4	Mint Sauce
512	46	0	0	Mint Sauce
513	59	0	1	Mango Chutney
514	38	0	2	Mint Sauce
515	34	1	1	Mint Sauce
516	35	0	3	Onion Chutney
517	50	0	3	Plain Naan
518	50	1	1	Mint Sauce
519	35	1	0	Onion Chutney
520	53	0	2	Mixed Vegetable Curry
521	21	0	2	Onion Chutney
522	27	0	0	Mango Chutney
523	50	1	1	Aloo Gobi
524	65	1	2	Mango Chutney
525	20	1	5	Mint Sauce
526	45	1	3	Curry Sauce
527	27	1	4	Mango Chutney
528	20	1	0	Mint Sauce
529	50	1	2	Mango Chutney
530	59	1	5	Mango Chutney
531	29	1	2	Mango Chutney
532	20	1	4	Raitha
533	21	1	5	Mint Sauce
534	48	1	1	Onion Chutney
535	19	0	3	Red Sauce
536	32	0	0	Mango Chutney
537	20	0	1	Madras - Chicken
538	52	1	2	Mint Sauce
539	49	0	0	Mint Sauce
540	36	1	0	Red Sauce
541	34	0	5	Lime Pickle
542	21	1	5	Mint Sauce
543	67	0	0	Mango Chutney
544	35	0	5	Mango Chutney
545	53	1	2	Mango Chutney
546	35	0	4	Mango Chutney
547	42	0	1	Mint Sauce
548	59	1	3	Mango Chutney
549	41	0	3	Onion Chutney
550	37	1	1	Mint Sauce
551	59	1	0	Lime Pickle
552	56	0	1	Mint Sauce
553	18	0	4	Red Sauce
554	59	1	3	Mint Sauce
555	22	0	1	Red Sauce
556	18	0	3	Plain Naan
557	64	1	2	Mango Chutney
558	54	1	2	Mint Sauce
559	60	1	4	Bottle Diet Coke
560	49	0	4	Mango Chutney
561	68	0	4	Plain Rice
562	64	1	2	Onion Chutney
563	62	0	1	Mint Sauce
564	23	0	1	Bombay Aloo
565	31	1	0	Mango Chutney
566	53	1	5	Onion Chutney
567	20	1	0	Mint Sauce
568	43	1	2	Mint Sauce
569	23	0	2	Lime Pickle
570	33	0	5	Chicken Tikka Jalfrezi
571	55	1	5	Red Sauce
572	25	0	1	Mango Chutney
573	32	0	4	Mint Sauce
574	65	0	4	Mushroom Rice
575	64	0	5	Onion Chutney
576	54	1	0	Mint Sauce
577	40	1	3	Onion Chutney
578	68	1	1	Plain Papadum
579	26	1	3	Mint Sauce
580	54	0	4	Mango Chutney
581	22	0	2	Red Sauce
582	27	0	1	Cauliflower Bhajee
583	65	1	1	Mango Chutney
584	48	0	5	Onion Chutney
585	61	0	1	Dhansak - Chicken
586	41	1	4	Mint Sauce
587	32	1	1	Red Sauce
588	21	1	4	Tarka Dall
589	63	1	2	Mint Sauce
590	53	0	4	Mango Chutney
591	16	1	5	Saag Dall
592	58	0	1	Onion Chutney
593	59	1	3	Vindaloo - Chicken
594	19	1	4	Red Sauce
595	42	0	1	Special Fried Rice
596	21	1	4	Lime Pickle
597	65	0	0	Plain Naan
598	59	1	3	Mango Chutney
599	46	0	4	Onion Chutney
600	37	0	2	Mango Chutney
601	58	1	0	Bombay Aloo
602	53	1	1	Lime Pickle
603	61	1	5	Mango Chutney
604	50	0	0	Lamb Biryani
605	30	0	0	Mint Sauce
606	22	1	4	Mango Chutney
607	29	1	4	Chicken Biryani
608	59	0	0	Red Sauce
609	21	1	5	Mint Sauce
610	56	0	3	Bombay Aloo
611	54	1	1	Mint Sauce
612	35	0	4	Onion Chutney
613	44	0	5	Peshwari Naan
614	59	0	2	Lime Pickle
615	51	1	2	Mango Chutney
616	29	1	4	Dhansak - Lamb
617	22	1	5	Lime Pickle
618	58	1	4	Mango Chutney
619	35	1	1	Mango Chutney
620	33	1	2	Korma - Chicken
621	46	1	4	Mango Chutney
622	63	1	3	Red Sauce
623	32	1	3	Onion Chutney
624	15	1	2	Mango Chutney
625	47	1	4	Mango Chutney
626	55	1	1	Mint Sauce
627	48	1	2	Mango Chutney
628	64	1	4	Mint Sauce
629	26	0	0	Mango Chutney
630	67	0	5	Mango Chutney
631	21	0	1	Mango Chutney
632	17	0	2	Onion Chutney
633	63	0	0	Plain Naan
634	24	1	5	Onion Chutney
635	40	1	0	Red Sauce
636	64	0	1	Mango Chutney
637	20	0	2	Mango Chutney
638	22	1	0	Pilau Rice
639	47	0	0	Mango Chutney
640	30	0	5	Mint Sauce
641	46	1	3	Red Sauce
642	23	0	2	Onion Chutney
643	25	1	4	Onion Chutney
644	41	0	2	Mango Chutney
645	53	1	5	Mango Chutney
646	27	0	0	Mango Chutney
647	67	1	1	Lime Pickle
648	36	1	5	Mango Chutney
649	26	0	0	Mint Sauce
650	65	1	3	Mint Sauce
651	58	1	4	Onion Chutney
652	22	1	0	Pilau Rice
653	21	1	5	Mango Chutney
654	15	0	3	Mint Sauce
655	27	1	2	Mint Sauce
656	38	0	1	Onion Chutney
657	53	0	4	Mint Sauce
658	57	0	2	Mango Chutney
659	43	0	0	Chicken Tikka Masala
660	18	0	3	Red Sauce
661	51	0	3	Mango Chutney
662	23	1	3	Mint Sauce
663	25	1	4	Mango Chutney
664	17	1	1	Madras - Chicken Tikka
665	39	1	5	Mango Chutney
666	31	0	5	Mango Chutney
667	66	0	4	Mint Sauce
668	44	0	0	Mango Chutney
669	19	0	4	Onion Bhajee
670	62	1	4	Lime Pickle
671	58	1	4	Onion Chutney
672	49	0	5	Onion Chutney
673	47	0	5	Chicken Tikka Jalfrezi
674	65	1	3	Mint Sauce
675	29	0	0	Onion Chutney
676	66	0	0	Pilau Rice
677	31	1	3	Mango Chutney
678	25	1	5	Mango Chutney
679	43	0	1	Mint Sauce
680	68	0	4	Plain Naan
681	64	0	5	Lime Pickle
682	65	0	0	Mango Chutney
683	47	0	0	Mint Sauce
684	36	1	5	Green Salad
685	35	0	4	Mango Chutney
686	22	0	2	Mint Sauce
687	47	0	0	Mint Sauce
688	18	1	5	Mango Chutney
689	59	1	5	Mango Chutney
690	65	1	3	Mango Chutney
691	20	1	0	Mint Sauce
692	65	1	3	Mango Chutney
693	60	0	2	Mint Sauce
694	36	1	1	Onion Chutney
695	21	1	4	Red Sauce
696	49	1	1	Mango Chutney
697	68	1	2	Mango Chutney
698	30	1	3	Mango Chutney
699	67	1	1	Mango Chutney
700	61	1	4	Mint Sauce
701	45	1	4	Onion Chutney
702	69	1	1	Mango Chutney
703	39	1	4	Mint Sauce
704	51	1	0	Mint Sauce
705	48	1	2	Mango Chutney
706	32	1	0	Mango Chutney
707	32	0	4	Mango Chutney
708	41	1	4	Sheek Kebab
709	31	1	2	Onion Chutney
710	61	0	2	Mango Chutney
711	53	0	3	Vegetable Biryani
712	66	1	3	Onion Chutney
713	33	0	3	Onion Chutney
714	34	0	3	Mint Sauce
715	30	0	5	Mint Sauce
716	43	1	3	Mint Sauce
717	68	1	2	Red Sauce
718	37	0	2	Mango Chutney
719	61	0	0	Onion Chutney
720	44	0	2	Onion Chutney
721	41	1	0	Mint Sauce
722	24	1	3	Mint Sauce
723	35	1	5	Mint Sauce
724	50	1	0	Onion Chutney
725	25	1	3	Aloo Chaat
726	19	1	0	Mango Chutney
727	54	1	1	Onion Chutney
728	16	1	1	Madras - King Prawn
729	30	0	4	Red Sauce
730	33	1	0	Pilau Rice
731	51	1	0	Mango Chutney
732	53	1	2	Butter Chicken
733	34	1	0	Mint Sauce
734	36	1	0	Plain Papadum
735	28	0	5	Onion Chutney
736	25	0	0	Chicken Tikka Masala
737	20	1	5	Mango Chutney
738	16	0	2	Plain Naan
739	43	1	3	Mango Chutney
740	57	1	4	Rogon - Chicken
741	26	0	1	Onion Chutney
742	23	0	2	Chicken Tikka (Main)
743	54	0	2	Onion Chutney
744	24	0	1	Madras - Chicken Tikka
745	25	0	0	Mint Sauce
746	68	1	1	Garlic Naan
747	62	0	2	Mango Chutney
748	49	0	4	Mango Chutney
749	44	0	0	Bombay Aloo
750	32	1	0	Mango Chutney
751	51	0	2	Onion Chutney
752	51	0	4	Saag Aloo
753	64	1	4	Mint Sauce
754	44	1	3	Mint Sauce
755	64	1	3	Mango Chutney
756	40	1	5	French Fries
757	69	1	1	Onion Chutney
758	41	1	4	Mango Chutney
759	62	0	5	Mint Sauce
760	24	1	3	Pilau Rice
761	48	0	5	Mango Chutney
762	21	0	3	Mango Chutney
763	49	1	2	Onion Chutney
764	23	0	0	Onion Bhajee
765	31	0	5	Mango Chutney
766	27	1	2	Mint Sauce
767	22	0	0	Plain Papadum
768	49	0	4	Mango Chutney
769	65	1	3	Onion Chutney
770	64	1	3	Mint Sauce
771	19	1	4	Mango Chutney
772	60	0	1	Red Sauce
773	21	0	3	Mint Sauce
774	52	1	2	Onion Chutney
775	27	1	2	Mango Chutney
776	26	1	4	Mango Chutney
777	52	1	1	Chicken Tikka Karahi
778	30	1	3	Red Sauce
779	65	0	5	Mango Chutney
780	64	1	4	Mango Chutney
781	39	1	0	Mango Chutney
782	47	1	3	Mango Chutney
783	43	1	3	Onion Chutney
784	36	0	2	Mango Chutney
785	48	0	0	Mint Sauce
786	22	0	2	Mango Chutney
787	17	0	5	Onion Chutney
788	32	1	0	Mint Sauce
789	45	0	5	Mango Chutney
790	15	0	4	Mint Sauce
791	48	0	4	Lime Pickle
792	47	1	3	Mint Sauce
793	44	1	5	Mango Chutney
794	17	1	1	Lime Pickle
795	17	0	4	Onion Chutney
796	48	0	4	Onion Chutney
797	41	0	0	Mint Sauce
798	50	1	0	Mint Sauce
799	51	1	2	Onion Chutney
800	54	0	2	Mango Chutney
801	16	1	2	Mushroom Bhajee
802	36	1	5	Red Sauce
803	44	0	2	Onion Chutney
804	40	0	3	Mango Chutney
805	57	1	0	Plain Rice
806	18	0	2	Mango Chutney
807	63	0	5	Mint Sauce
808	37	1	5	Mint Sauce
809	41	1	0	Mint Sauce
810	51	1	0	Mango Chutney
811	53	0	2	Mango Chutney
812	22	0	2	Red Sauce
813	35	0	5	Mint Sauce
814	39	1	5	Mango Chutney
815	36	1	1	Mango Chutney
816	48	1	2	Chicken Tikka
817	39	1	5	Onion Chutney
818	53	0	4	Lime Pickle
819	46	1	4	Royal Paneer
820	56	1	5	Mint Sauce
821	25	1	3	Mint Sauce
822	17	0	3	Garlic Naan
823	64	1	4	Mango Chutney
824	35	0	2	Mango Chutney
825	47	1	2	Mango Chutney
826	44	0	0	Red Sauce
827	30	1	1	Onion Chutney
828	57	1	4	Red Sauce
829	53	1	1	Mango Chutney
830	15	1	2	Mango Chutney
831	45	0	1	Mango Chutney
832	37	1	5	Mango Chutney
833	36	1	0	Mango Chutney
834	15	0	4	Mint Sauce
835	33	1	0	Lime Pickle
836	39	0	2	Mango Chutney
837	21	0	2	Mango Chutney
838	60	0	3	Mint Sauce
839	36	0	5	Mango Chutney
840	27	0	1	Mango Chutney
841	35	0	5	Mango Chutney
842	19	1	0	Mango Chutney
843	47	0	4	Onion Chutney
844	34	1	5	Red Sauce
845	64	1	3	Onion Chutney
846	33	1	2	Mint Sauce
847	44	1	3	Lime Pickle
